,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Employee ID,Employee Name,Hours Worked (Regular),Regular Wage Rate (₹),Regular Pay (₹),Overtime Hours,Overtime Wage Rate (₹),Overtime Pay (₹),Total Pay (₹),Pay Period End Date
,,E001,Rahul Sharma,160,250,40000,10,375,3750,43750,7/31/2025
,,E002,Priya Singh,150,280,42000,5,420,2100,44100,7/31/2025
,,E003,Amit Kumar,170,220,37400,8,330,2640,40040,7/31/2025
,,E004,Neha Gupta,165,260,42900,7,390,2730,45630,7/31/2025
,,E005,Sanjay Reddy,155,270,41850,12,405,4860,46710,7/31/2025
,,E006,Deepika Das,162,240,38880,6,360,2160,41040,7/31/2025
,,E007,Vikas Yadav,168,230,38640,9,345,3105,41745,7/31/2025
,,E008,Anjali Mehra,158,290,45820,4,435,1740,47560,7/31/2025
,,E009,Rajesh Kumar,175,210,36750,11,**280**,3465,40215,7/31/2025
,,E010,Shruti Joshi,163,255,41565,3,382.5,1147.5,42712.5,7/31/2025
